   Tau           Etot
 180.00000000 -197.31110408 
 165.00000000 -197.31106874 
 150.00000000 -197.30947948 
 135.00000000 -197.30752686 
 120.00000000 -197.30658819 
 105.00000000 -197.30741292 
  90.00000000 -197.30933221 
  75.00000000 -197.31096201 
  60.00000000 -197.31146228 
  45.00000000 -197.31039909 
  30.00000000 -197.30796240 
  15.00000000 -197.30482319 
   0.00000000 -197.30255745 
 -15.00000000 -197.30376349 
 -30.00000000 -197.30680771 
 -45.00000000 -197.30922801 
 -60.00000000 -197.30997831 
 -75.00000000 -197.30945646 
 -90.00000000 -197.30760298 
-105.00000000 -197.30471431 
-120.00000000 -197.30298453 
-135.00000000 -197.30389921 
-150.00000000 -197.30728201 
-165.00000000 -197.31019936 
-180.00000000 -197.31148260 
