   Tau           Etot
 180.00000000 -233.19549980 
 165.00000000 -233.19580389 
 150.00000000 -233.19497589 
 135.00000000 -233.19408213 
 120.00000000 -233.19347624 
 105.00000000 -233.19396781 
  90.00000000 -233.19523564 
  75.00000000 -233.19573528 
  60.00000000 -233.19575292 
  45.00000000 -233.19408403 
  30.00000000 -233.19146582 
  15.00000000 -233.18890551 
   0.00000000 -233.18751828 
 -15.00000000 -233.18817970 
 -30.00000000 -233.19016696 
 -45.00000000 -233.19201716 
 -60.00000000 -233.19266563 
 -75.00000000 -233.19250059 
 -90.00000000 -233.19122623 
-105.00000000 -233.18908715 
-120.00000000 -233.18774100 
-135.00000000 -233.18839757 
-150.00000000 -233.19093255 
-165.00000000 -233.19362459 
-180.00000000 -233.19541304 

