   Tau           Etot
 180.00000000 -555.80625885 
 165.00000000 -555.80604342 
 150.00000000 -555.80490592 
 135.00000000 -555.80346847 
 120.00000000 -555.80270127 
 105.00000000 -555.80333859 
  90.00000000 -555.80489898 
  75.00000000 -555.80598475 
  60.00000000 -555.80623547 
  45.00000000 -555.80531606 
  30.00000000 -555.80315557 
  15.00000000 -555.80098949 
   0.00000000 -555.79911422 
 -15.00000000 -555.80087681 
 -30.00000000 -555.80290795 
 -45.00000000 -555.80449301 
 -60.00000000 -555.80510595 
 -75.00000000 -555.80499448 
 -90.00000000 -555.80361071 
-105.00000000 -555.80134037 
-120.00000000 -555.80014689 
-135.00000000 -555.80113733 
-150.00000000 -555.80302748 
-165.00000000 -555.80503574 
-180.00000000 -555.80631030 
