   Tau           Etot
 180.00000000 -213.32568113 
 165.00000000 -213.32626827 
 150.00000000 -213.32469189 
 135.00000000 -213.32231775 
 120.00000000 -213.32113589 
 105.00000000 -213.32207967 
  90.00000000 -213.32449835 
  75.00000000 -213.32627314 
  60.00000000 -213.32631373 
  45.00000000 -213.32439430 
  30.00000000 -213.32104299 
  15.00000000 -213.31756529 
   0.00000000 -213.31500200 
 -15.00000000 -213.31569752 
 -30.00000000 -213.31937202 
 -45.00000000 -213.32238990 
 -60.00000000 -213.32349314 
 -75.00000000 -213.32298957 
 -90.00000000 -213.32079287 
-105.00000000 -213.31737882 
-120.00000000 -213.31495432 
-135.00000000 -213.31618388 
-150.00000000 -213.31991022 
-165.00000000 -213.32402732 
-180.00000000 -213.32620605 
