   Tau          Etot
 180.00000000 -158.08397104 
 165.00000000 -158.08367460 
 150.00000000 -158.08208063 
 135.00000000 -158.08009823 
 120.00000000 -158.07913124 
 105.00000000 -158.07991900 
  90.00000000 -158.08168474 
  75.00000000 -158.08290814 
  60.00000000 -158.08356821 
  45.00000000 -158.08241330 
  30.00000000 -158.07977958 
  15.00000000 -158.07665358 
   0.00000000 -158.07505061 
 -15.00000000 -158.07665358 
 -30.00000000 -158.07977958 
 -45.00000000 -158.08241330 
 -60.00000000 -158.08356821 
 -75.00000000 -158.08290814 
 -90.00000000 -158.08168474 
-105.00000000 -158.07991900 
-120.00000000 -158.07913124 
-135.00000000 -158.08009823 
-150.00000000 -158.08208063 
-165.00000000 -158.08367460 
-180.00000000 -158.08397104 

