   Tau           Etot
 180.00000000 -193.96663326 
 165.00000000 -193.96615811 
 150.00000000 -193.96467675 
 135.00000000 -193.96331103 
 120.00000000 -193.96262282 
 105.00000000 -193.96314037 
  90.00000000 -193.96423097 
  75.00000000 -193.96482233 
  60.00000000 -193.96445745 
  45.00000000 -193.96267472 
  30.00000000 -193.95996220 
  15.00000000 -193.95752354 
   0.00000000 -193.95672682 
 -15.00000000 -193.95752354 
 -30.00000000 -193.95996220 
 -45.00000000 -193.96267472 
 -60.00000000 -193.96445745 
 -75.00000000 -193.96482233 
 -90.00000000 -193.96423097 
-105.00000000 -193.96314037 
-120.00000000 -193.96262282 
-135.00000000 -193.96331103 
-150.00000000 -193.96467675 
-165.00000000 -193.96615811 
-180.00000000 -193.96663326 

