   Tau           Etot
 180.00000000 -232.01465081 
 165.00000000 -232.01444144 
 150.00000000 -232.01383122 
 135.00000000 -232.01314010 
 120.00000000 -232.01275317 
 105.00000000 -232.01288026 
  90.00000000 -232.01314270 
  75.00000000 -232.01268480 
  60.00000000 -232.01267231 
  45.00000000 -232.01268333 
  30.00000000 -232.01208963 
  15.00000000 -232.01127069 
   0.00000000 -232.01076649 
 -15.00000000 -232.01127069 
 -30.00000000 -232.01208963 
 -45.00000000 -232.01268333 
 -60.00000000 -232.01267231 
 -75.00000000 -232.01268480 
 -90.00000000 -232.01314270 
-105.00000000 -232.01288026 
-120.00000000 -232.01275317 
-135.00000000 -232.01314010 
-150.00000000 -232.01383122 
-165.00000000 -232.01444144 
-180.00000000 -232.01465081 

