   Tau           Etot
 180.00000000 -516.57749190 
 165.00000000 -516.57719400 
 150.00000000 -516.57602447 
 135.00000000 -516.57504555 
 120.00000000 -516.57464590 
 105.00000000 -516.57531375 
  90.00000000 -516.57665805 
  75.00000000 -516.57773180 
  60.00000000 -516.57754384 
  45.00000000 -516.57566920 
  30.00000000 -516.57344761 
  15.00000000 -516.57165402 
   0.00000000 -516.57100936 
 -15.00000000 -516.57165402 
 -30.00000000 -516.57344761 
 -45.00000000 -516.57566920 
 -60.00000000 -516.57754384 
 -75.00000000 -516.57773180 
 -90.00000000 -516.57665805 
-105.00000000 -516.57531375 
-120.00000000 -516.57464590 
-135.00000000 -516.57504555 
-150.00000000 -516.57602447 
-165.00000000 -516.57719400 
-180.00000000 -516.57749190 

