   Tau           Etot
-180.00000000 -590.51336684
-165.00000000 -590.51273572
-150.00000000 -590.51033012
-135.00000000 -590.50696851
-120.00000000 -590.50379978
-105.00000000 -590.50220685
 -90.00000000 -590.50178463
 -75.00000000 -590.50293567
 -60.00000000 -590.50639588
 -45.00000000 -590.51110635
 -30.00000000 -590.51576615
 -15.00000000 -590.51907112
   0.00000000 -590.52063619
  15.00000000 -590.51907112
  30.00000000 -590.51576615
  45.00000000 -590.51110635
  60.00000000 -590.50639588
  75.00000000 -590.50293567
  90.00000000 -590.50178463
 105.00000000 -590.50220685
 120.00000000 -590.50379978
 135.00000000 -590.50696851
 150.00000000 -590.51033012
 165.00000000 -590.51273572
 180.00000000 -590.51336684

