   Tau           Etot
-180.00000000 -913.09238245
-165.00000000 -913.09191828
-150.00000000 -913.08958236
-135.00000000 -913.08587329
-120.00000000 -913.08205419
-105.00000000 -913.08001471
 -90.00000000 -913.07938035
 -75.00000000 -913.08065603
 -60.00000000 -913.08423442
 -45.00000000 -913.08954643
 -30.00000000 -913.09509619
 -15.00000000 -913.09828423
   0.00000000 -913.09987297
  15.00000000 -913.09828423
  30.00000000 -913.09509619
  45.00000000 -913.08954643
  60.00000000 -913.08423442
  75.00000000 -913.08065603
  90.00000000 -913.07938035
 105.00000000 -913.08001471
 120.00000000 -913.08205419
 135.00000000 -913.08587329
 150.00000000 -913.08958236
 165.00000000 -913.09191828
 180.00000000 -913.09238245

